Namespace(batch_size=256, context=False, cuda=True, dni=False, epochs=3000, log_interval=10, lr=0.1, no_cuda=False, seed=1, test_batch_size=1000)
epoch 1, test Average loss: 1.8129, Accuracy: 4202/10000 42.00%
epoch 2, test Average loss: 1.6159, Accuracy: 4950/10000 49.00%
epoch 3, test Average loss: 1.5118, Accuracy: 5341/10000 53.00%
epoch 4, test Average loss: 1.4249, Accuracy: 5588/10000 55.00%
epoch 5, test Average loss: 1.3609, Accuracy: 5617/10000 56.00%
epoch 6, test Average loss: 1.3049, Accuracy: 5897/10000 58.00%
epoch 7, test Average loss: 1.2274, Accuracy: 6047/10000 60.00%
epoch 8, test Average loss: 1.1949, Accuracy: 6120/10000 61.00%
epoch 9, test Average loss: 1.1385, Accuracy: 6355/10000 63.00%
epoch 10, test Average loss: 1.1487, Accuracy: 6100/10000 61.00%
epoch 11, test Average loss: 1.0699, Accuracy: 6502/10000 65.00%
epoch 12, test Average loss: 1.0626, Accuracy: 6453/10000 64.00%
epoch 13, test Average loss: 1.0408, Accuracy: 6468/10000 64.00%
epoch 14, test Average loss: 1.0122, Accuracy: 6585/10000 65.00%
epoch 15, test Average loss: 0.9738, Accuracy: 6653/10000 66.00%
epoch 16, test Average loss: 1.0017, Accuracy: 6593/10000 65.00%
epoch 17, test Average loss: 0.9791, Accuracy: 6649/10000 66.00%
epoch 18, test Average loss: 0.9351, Accuracy: 6805/10000 68.00%
epoch 19, test Average loss: 0.9756, Accuracy: 6608/10000 66.00%
epoch 20, test Average loss: 0.9752, Accuracy: 6578/10000 65.00%
epoch 21, test Average loss: 0.9087, Accuracy: 6826/10000 68.00%
epoch 22, test Average loss: 0.9455, Accuracy: 6701/10000 67.00%
epoch 23, test Average loss: 0.8470, Accuracy: 7084/10000 70.00%
epoch 24, test Average loss: 0.8440, Accuracy: 7169/10000 71.00%
epoch 25, test Average loss: 0.8751, Accuracy: 6998/10000 69.00%
epoch 26, test Average loss: 0.8681, Accuracy: 6975/10000 69.00%
epoch 27, test Average loss: 0.8997, Accuracy: 6868/10000 68.00%
epoch 28, test Average loss: 0.8668, Accuracy: 6964/10000 69.00%
epoch 29, test Average loss: 0.8375, Accuracy: 7056/10000 70.00%
epoch 30, test Average loss: 0.8374, Accuracy: 7093/10000 70.00%
epoch 31, test Average loss: 0.8334, Accuracy: 7094/10000 70.00%
epoch 32, test Average loss: 0.8596, Accuracy: 6978/10000 69.00%
epoch 33, test Average loss: 0.8041, Accuracy: 7236/10000 72.00%
epoch 34, test Average loss: 0.8439, Accuracy: 7042/10000 70.00%
epoch 35, test Average loss: 0.8343, Accuracy: 7110/10000 71.00%
epoch 36, test Average loss: 0.8022, Accuracy: 7229/10000 72.00%
epoch 37, test Average loss: 0.8413, Accuracy: 7036/10000 70.00%
epoch 38, test Average loss: 0.9311, Accuracy: 6822/10000 68.00%
epoch 39, test Average loss: 0.7709, Accuracy: 7292/10000 72.00%
epoch 40, test Average loss: 0.8436, Accuracy: 7079/10000 70.00%
epoch 41, test Average loss: 0.7318, Accuracy: 7501/10000 75.00%
epoch 42, test Average loss: 0.9125, Accuracy: 6854/10000 68.00%
epoch 43, test Average loss: 0.8233, Accuracy: 7160/10000 71.00%
epoch 44, test Average loss: 0.8161, Accuracy: 7122/10000 71.00%
epoch 45, test Average loss: 0.7609, Accuracy: 7368/10000 73.00%
epoch 46, test Average loss: 0.7106, Accuracy: 7522/10000 75.00%
epoch 47, test Average loss: 0.7235, Accuracy: 7506/10000 75.00%
epoch 48, test Average loss: 0.7616, Accuracy: 7310/10000 73.00%
epoch 49, test Average loss: 0.8895, Accuracy: 6953/10000 69.00%
epoch 50, test Average loss: 0.7463, Accuracy: 7390/10000 73.00%
epoch 51, test Average loss: 0.7984, Accuracy: 7276/10000 72.00%
epoch 52, test Average loss: 0.7251, Accuracy: 7503/10000 75.00%
epoch 53, test Average loss: 0.8744, Accuracy: 6909/10000 69.00%
epoch 54, test Average loss: 0.7368, Accuracy: 7455/10000 74.00%
epoch 55, test Average loss: 0.7446, Accuracy: 7464/10000 74.00%
epoch 56, test Average loss: 0.7231, Accuracy: 7458/10000 74.00%
epoch 57, test Average loss: 0.7909, Accuracy: 7296/10000 72.00%
epoch 58, test Average loss: 0.8208, Accuracy: 7147/10000 71.00%
epoch 59, test Average loss: 0.7230, Accuracy: 7492/10000 74.00%
epoch 60, test Average loss: 0.7073, Accuracy: 7536/10000 75.00%
epoch 61, test Average loss: 0.7153, Accuracy: 7570/10000 75.00%
epoch 62, test Average loss: 0.6796, Accuracy: 7630/10000 76.00%
epoch 63, test Average loss: 0.7613, Accuracy: 7363/10000 73.00%
epoch 64, test Average loss: 0.7098, Accuracy: 7496/10000 74.00%
epoch 65, test Average loss: 0.6914, Accuracy: 7597/10000 75.00%
epoch 66, test Average loss: 0.7097, Accuracy: 7538/10000 75.00%
epoch 67, test Average loss: 0.7774, Accuracy: 7308/10000 73.00%
epoch 68, test Average loss: 0.8009, Accuracy: 7281/10000 72.00%
epoch 69, test Average loss: 0.6748, Accuracy: 7712/10000 77.00%
epoch 70, test Average loss: 0.7408, Accuracy: 7482/10000 74.00%
epoch 71, test Average loss: 0.7097, Accuracy: 7616/10000 76.00%
epoch 72, test Average loss: 0.6768, Accuracy: 7697/10000 76.00%
epoch 73, test Average loss: 0.7020, Accuracy: 7588/10000 75.00%
epoch 74, test Average loss: 0.6733, Accuracy: 7706/10000 77.00%
epoch 75, test Average loss: 0.6732, Accuracy: 7670/10000 76.00%
epoch 76, test Average loss: 0.7635, Accuracy: 7383/10000 73.00%
epoch 77, test Average loss: 0.6821, Accuracy: 7636/10000 76.00%
epoch 78, test Average loss: 0.6806, Accuracy: 7684/10000 76.00%
epoch 79, test Average loss: 0.6244, Accuracy: 7852/10000 78.00%
epoch 80, test Average loss: 0.6940, Accuracy: 7640/10000 76.00%
epoch 81, test Average loss: 0.6841, Accuracy: 7651/10000 76.00%
epoch 82, test Average loss: 0.7644, Accuracy: 7386/10000 73.00%
epoch 83, test Average loss: 0.6404, Accuracy: 7804/10000 78.00%
epoch 84, test Average loss: 0.6598, Accuracy: 7698/10000 76.00%
epoch 85, test Average loss: 0.7249, Accuracy: 7515/10000 75.00%
epoch 86, test Average loss: 0.7427, Accuracy: 7511/10000 75.00%
epoch 87, test Average loss: 0.7186, Accuracy: 7567/10000 75.00%
epoch 88, test Average loss: 0.7243, Accuracy: 7560/10000 75.00%
epoch 89, test Average loss: 0.7073, Accuracy: 7584/10000 75.00%
epoch 90, test Average loss: 0.6134, Accuracy: 7900/10000 79.00%
epoch 91, test Average loss: 0.6757, Accuracy: 7715/10000 77.00%
epoch 92, test Average loss: 0.6575, Accuracy: 7773/10000 77.00%
epoch 93, test Average loss: 0.6185, Accuracy: 7869/10000 78.00%
epoch 94, test Average loss: 0.7408, Accuracy: 7464/10000 74.00%
epoch 95, test Average loss: 0.6303, Accuracy: 7832/10000 78.00%
epoch 96, test Average loss: 0.7073, Accuracy: 7583/10000 75.00%
epoch 97, test Average loss: 0.6720, Accuracy: 7747/10000 77.00%
epoch 98, test Average loss: 0.6575, Accuracy: 7755/10000 77.00%
epoch 99, test Average loss: 0.6708, Accuracy: 7707/10000 77.00%
epoch 100, test Average loss: 0.7101, Accuracy: 7580/10000 75.00%
epoch 101, test Average loss: 0.7136, Accuracy: 7531/10000 75.00%
epoch 102, test Average loss: 0.6850, Accuracy: 7686/10000 76.00%
epoch 103, test Average loss: 0.6751, Accuracy: 7740/10000 77.00%
epoch 104, test Average loss: 0.6678, Accuracy: 7726/10000 77.00%
epoch 105, test Average loss: 0.8042, Accuracy: 7411/10000 74.00%
epoch 106, test Average loss: 0.6484, Accuracy: 7840/10000 78.00%
epoch 107, test Average loss: 0.8219, Accuracy: 7313/10000 73.00%
epoch 108, test Average loss: 0.5935, Accuracy: 7956/10000 79.00%
epoch 109, test Average loss: 0.6389, Accuracy: 7797/10000 77.00%
epoch 110, test Average loss: 0.7771, Accuracy: 7360/10000 73.00%
epoch 111, test Average loss: 0.6683, Accuracy: 7730/10000 77.00%
epoch 112, test Average loss: 0.6405, Accuracy: 7798/10000 77.00%
epoch 113, test Average loss: 0.6500, Accuracy: 7812/10000 78.00%
epoch 114, test Average loss: 0.6170, Accuracy: 7903/10000 79.00%
epoch 115, test Average loss: 0.6809, Accuracy: 7684/10000 76.00%
epoch 116, test Average loss: 0.6610, Accuracy: 7730/10000 77.00%
epoch 117, test Average loss: 0.6208, Accuracy: 7886/10000 78.00%
epoch 118, test Average loss: 0.6871, Accuracy: 7601/10000 76.00%
epoch 119, test Average loss: 0.6361, Accuracy: 7850/10000 78.00%
epoch 120, test Average loss: 0.6108, Accuracy: 7919/10000 79.00%
epoch 121, test Average loss: 0.7036, Accuracy: 7713/10000 77.00%
epoch 122, test Average loss: 0.7011, Accuracy: 7631/10000 76.00%
epoch 123, test Average loss: 0.5949, Accuracy: 7987/10000 79.00%
epoch 124, test Average loss: 0.6501, Accuracy: 7837/10000 78.00%
epoch 125, test Average loss: 0.6733, Accuracy: 7768/10000 77.00%
epoch 126, test Average loss: 0.6390, Accuracy: 7899/10000 78.00%
epoch 127, test Average loss: 0.6507, Accuracy: 7821/10000 78.00%
epoch 128, test Average loss: 0.7176, Accuracy: 7663/10000 76.00%
epoch 129, test Average loss: 0.6129, Accuracy: 7931/10000 79.00%
epoch 130, test Average loss: 0.6620, Accuracy: 7720/10000 77.00%
epoch 131, test Average loss: 0.7445, Accuracy: 7472/10000 74.00%
epoch 132, test Average loss: 0.7022, Accuracy: 7659/10000 76.00%
epoch 133, test Average loss: 0.6744, Accuracy: 7750/10000 77.00%
epoch 134, test Average loss: 0.6946, Accuracy: 7746/10000 77.00%
epoch 135, test Average loss: 0.7509, Accuracy: 7472/10000 74.00%
epoch 136, test Average loss: 0.6117, Accuracy: 7948/10000 79.00%
epoch 137, test Average loss: 0.5930, Accuracy: 7940/10000 79.00%
epoch 138, test Average loss: 0.6084, Accuracy: 7919/10000 79.00%
epoch 139, test Average loss: 0.5854, Accuracy: 8026/10000 80.00%
epoch 140, test Average loss: 0.6502, Accuracy: 7856/10000 78.00%
epoch 141, test Average loss: 0.6332, Accuracy: 7858/10000 78.00%
epoch 142, test Average loss: 0.6566, Accuracy: 7834/10000 78.00%
epoch 143, test Average loss: 0.6350, Accuracy: 7853/10000 78.00%
epoch 144, test Average loss: 0.6686, Accuracy: 7816/10000 78.00%
epoch 145, test Average loss: 0.6521, Accuracy: 7813/10000 78.00%
epoch 146, test Average loss: 0.5887, Accuracy: 8038/10000 80.00%
epoch 147, test Average loss: 0.6687, Accuracy: 7787/10000 77.00%
epoch 148, test Average loss: 0.6142, Accuracy: 7886/10000 78.00%
epoch 149, test Average loss: 0.6688, Accuracy: 7722/10000 77.00%
epoch 150, test Average loss: 0.6494, Accuracy: 7852/10000 78.00%
epoch 151, test Average loss: 0.6359, Accuracy: 7869/10000 78.00%
epoch 152, test Average loss: 0.5656, Accuracy: 8077/10000 80.00%
epoch 153, test Average loss: 0.5987, Accuracy: 7939/10000 79.00%
epoch 154, test Average loss: 0.6161, Accuracy: 7954/10000 79.00%
epoch 155, test Average loss: 0.6931, Accuracy: 7696/10000 76.00%
epoch 156, test Average loss: 0.6228, Accuracy: 7895/10000 78.00%
epoch 157, test Average loss: 0.5828, Accuracy: 8040/10000 80.00%
epoch 158, test Average loss: 0.5745, Accuracy: 8062/10000 80.00%
epoch 159, test Average loss: 0.5772, Accuracy: 8041/10000 80.00%
epoch 160, test Average loss: 0.5980, Accuracy: 8020/10000 80.00%
epoch 161, test Average loss: 0.5677, Accuracy: 8041/10000 80.00%
epoch 162, test Average loss: 0.6585, Accuracy: 7851/10000 78.00%
epoch 163, test Average loss: 0.5939, Accuracy: 7938/10000 79.00%
epoch 164, test Average loss: 0.6673, Accuracy: 7818/10000 78.00%
epoch 165, test Average loss: 0.6541, Accuracy: 7854/10000 78.00%
epoch 166, test Average loss: 0.6013, Accuracy: 7965/10000 79.00%
epoch 167, test Average loss: 0.6014, Accuracy: 8002/10000 80.00%
epoch 168, test Average loss: 0.6035, Accuracy: 7961/10000 79.00%
epoch 169, test Average loss: 0.5808, Accuracy: 8015/10000 80.00%
epoch 170, test Average loss: 0.5997, Accuracy: 7997/10000 79.00%
epoch 171, test Average loss: 0.7405, Accuracy: 7593/10000 75.00%
epoch 172, test Average loss: 0.6274, Accuracy: 7888/10000 78.00%
epoch 173, test Average loss: 0.6425, Accuracy: 7887/10000 78.00%
epoch 174, test Average loss: 0.6143, Accuracy: 7955/10000 79.00%
epoch 175, test Average loss: 0.7211, Accuracy: 7696/10000 76.00%
epoch 176, test Average loss: 0.6693, Accuracy: 7804/10000 78.00%
epoch 177, test Average loss: 0.6105, Accuracy: 7944/10000 79.00%
epoch 178, test Average loss: 0.8182, Accuracy: 7394/10000 73.00%
epoch 179, test Average loss: 0.5810, Accuracy: 8052/10000 80.00%
epoch 180, test Average loss: 0.5642, Accuracy: 8099/10000 80.00%
epoch 181, test Average loss: 0.6261, Accuracy: 7973/10000 79.00%
epoch 182, test Average loss: 0.5947, Accuracy: 7995/10000 79.00%
epoch 183, test Average loss: 0.7416, Accuracy: 7614/10000 76.00%
epoch 184, test Average loss: 0.6177, Accuracy: 7947/10000 79.00%
epoch 185, test Average loss: 0.6696, Accuracy: 7775/10000 77.00%
epoch 186, test Average loss: 0.5979, Accuracy: 7988/10000 79.00%
epoch 187, test Average loss: 0.6620, Accuracy: 7870/10000 78.00%
epoch 188, test Average loss: 0.7269, Accuracy: 7610/10000 76.00%
epoch 189, test Average loss: 0.6561, Accuracy: 7817/10000 78.00%
epoch 190, test Average loss: 0.6066, Accuracy: 7960/10000 79.00%
epoch 191, test Average loss: 0.5885, Accuracy: 8038/10000 80.00%
epoch 192, test Average loss: 0.6233, Accuracy: 7889/10000 78.00%
epoch 193, test Average loss: 0.6417, Accuracy: 7878/10000 78.00%
epoch 194, test Average loss: 0.5908, Accuracy: 8068/10000 80.00%
epoch 195, test Average loss: 0.6164, Accuracy: 8024/10000 80.00%
epoch 196, test Average loss: 0.6686, Accuracy: 7839/10000 78.00%
epoch 197, test Average loss: 0.5682, Accuracy: 8128/10000 81.00%
epoch 198, test Average loss: 0.6397, Accuracy: 7871/10000 78.00%
epoch 199, test Average loss: 0.6821, Accuracy: 7826/10000 78.00%
epoch 200, test Average loss: 0.5776, Accuracy: 8073/10000 80.00%
epoch 201, test Average loss: 0.5499, Accuracy: 8176/10000 81.00%
epoch 202, test Average loss: 0.5509, Accuracy: 8142/10000 81.00%
epoch 203, test Average loss: 0.5928, Accuracy: 8050/10000 80.00%
epoch 204, test Average loss: 0.7136, Accuracy: 7708/10000 77.00%
epoch 205, test Average loss: 0.5706, Accuracy: 8066/10000 80.00%
epoch 206, test Average loss: 0.5606, Accuracy: 8145/10000 81.00%
epoch 207, test Average loss: 0.5962, Accuracy: 8036/10000 80.00%
epoch 208, test Average loss: 0.6070, Accuracy: 8010/10000 80.00%
epoch 209, test Average loss: 0.6353, Accuracy: 7923/10000 79.00%
epoch 210, test Average loss: 0.5900, Accuracy: 8070/10000 80.00%
epoch 211, test Average loss: 0.5886, Accuracy: 8019/10000 80.00%
epoch 212, test Average loss: 0.6130, Accuracy: 7988/10000 79.00%
epoch 213, test Average loss: 0.5926, Accuracy: 8046/10000 80.00%
epoch 214, test Average loss: 0.6357, Accuracy: 7885/10000 78.00%
epoch 215, test Average loss: 0.6147, Accuracy: 8019/10000 80.00%
epoch 216, test Average loss: 0.6314, Accuracy: 7926/10000 79.00%
epoch 217, test Average loss: 0.6201, Accuracy: 7971/10000 79.00%
epoch 218, test Average loss: 0.6050, Accuracy: 8054/10000 80.00%
epoch 219, test Average loss: 0.5762, Accuracy: 8104/10000 81.00%
epoch 220, test Average loss: 0.6104, Accuracy: 7999/10000 79.00%
epoch 221, test Average loss: 0.6131, Accuracy: 8037/10000 80.00%
epoch 222, test Average loss: 0.5832, Accuracy: 8023/10000 80.00%
epoch 223, test Average loss: 0.6079, Accuracy: 8024/10000 80.00%
epoch 224, test Average loss: 0.5788, Accuracy: 8090/10000 80.00%
epoch 225, test Average loss: 0.5774, Accuracy: 8072/10000 80.00%
epoch 226, test Average loss: 0.6753, Accuracy: 7828/10000 78.00%
epoch 227, test Average loss: 0.7186, Accuracy: 7763/10000 77.00%
epoch 228, test Average loss: 0.5674, Accuracy: 8097/10000 80.00%
epoch 229, test Average loss: 0.6294, Accuracy: 7994/10000 79.00%
epoch 230, test Average loss: 0.5968, Accuracy: 8047/10000 80.00%
epoch 231, test Average loss: 0.5613, Accuracy: 8119/10000 81.00%
epoch 232, test Average loss: 0.5928, Accuracy: 8066/10000 80.00%
epoch 233, test Average loss: 0.5185, Accuracy: 8268/10000 82.00%
epoch 234, test Average loss: 0.5441, Accuracy: 8174/10000 81.00%
epoch 235, test Average loss: 0.6489, Accuracy: 7943/10000 79.00%
epoch 236, test Average loss: 0.5902, Accuracy: 8027/10000 80.00%
epoch 237, test Average loss: 0.6043, Accuracy: 8015/10000 80.00%
epoch 238, test Average loss: 0.5762, Accuracy: 8046/10000 80.00%
epoch 239, test Average loss: 0.5559, Accuracy: 8163/10000 81.00%
epoch 240, test Average loss: 0.5968, Accuracy: 8004/10000 80.00%
epoch 241, test Average loss: 0.6411, Accuracy: 7917/10000 79.00%
epoch 242, test Average loss: 0.5607, Accuracy: 8129/10000 81.00%
epoch 243, test Average loss: 0.6309, Accuracy: 8004/10000 80.00%
epoch 244, test Average loss: 0.5750, Accuracy: 8111/10000 81.00%
epoch 245, test Average loss: 0.5736, Accuracy: 8135/10000 81.00%
epoch 246, test Average loss: 0.5825, Accuracy: 8168/10000 81.00%
epoch 247, test Average loss: 0.5719, Accuracy: 8113/10000 81.00%
epoch 248, test Average loss: 0.6129, Accuracy: 8041/10000 80.00%
epoch 249, test Average loss: 0.6980, Accuracy: 7795/10000 77.00%
epoch 250, test Average loss: 0.6186, Accuracy: 8007/10000 80.00%
epoch 251, test Average loss: 0.6290, Accuracy: 7973/10000 79.00%
epoch 252, test Average loss: 0.5804, Accuracy: 8134/10000 81.00%
epoch 253, test Average loss: 0.5422, Accuracy: 8200/10000 82.00%
epoch 254, test Average loss: 0.7815, Accuracy: 7576/10000 75.00%
epoch 255, test Average loss: 0.5389, Accuracy: 8221/10000 82.00%
epoch 256, test Average loss: 0.6307, Accuracy: 7943/10000 79.00%
epoch 257, test Average loss: 0.6669, Accuracy: 7884/10000 78.00%
epoch 258, test Average loss: 0.5918, Accuracy: 8070/10000 80.00%
epoch 259, test Average loss: 0.5554, Accuracy: 8153/10000 81.00%
epoch 260, test Average loss: 0.6435, Accuracy: 7946/10000 79.00%
epoch 261, test Average loss: 0.6229, Accuracy: 7996/10000 79.00%
epoch 262, test Average loss: 0.6836, Accuracy: 7866/10000 78.00%
epoch 263, test Average loss: 0.5538, Accuracy: 8149/10000 81.00%
epoch 264, test Average loss: 0.5403, Accuracy: 8250/10000 82.00%
epoch 265, test Average loss: 0.6271, Accuracy: 7965/10000 79.00%
epoch 266, test Average loss: 0.5535, Accuracy: 8202/10000 82.00%
epoch 267, test Average loss: 0.6233, Accuracy: 8028/10000 80.00%
epoch 268, test Average loss: 0.6213, Accuracy: 8025/10000 80.00%
epoch 269, test Average loss: 0.5854, Accuracy: 8107/10000 81.00%
epoch 270, test Average loss: 0.6937, Accuracy: 7927/10000 79.00%
epoch 271, test Average loss: 0.5851, Accuracy: 8099/10000 80.00%
epoch 272, test Average loss: 0.5892, Accuracy: 8147/10000 81.00%
epoch 273, test Average loss: 0.5862, Accuracy: 8080/10000 80.00%
epoch 274, test Average loss: 0.5359, Accuracy: 8268/10000 82.00%
epoch 275, test Average loss: 0.5800, Accuracy: 8169/10000 81.00%
epoch 276, test Average loss: 0.5895, Accuracy: 8094/10000 80.00%
epoch 277, test Average loss: 0.5889, Accuracy: 8163/10000 81.00%
epoch 278, test Average loss: 0.6240, Accuracy: 8046/10000 80.00%
epoch 279, test Average loss: 0.5846, Accuracy: 8116/10000 81.00%
epoch 280, test Average loss: 0.6300, Accuracy: 8027/10000 80.00%
epoch 281, test Average loss: 0.6302, Accuracy: 8027/10000 80.00%
epoch 282, test Average loss: 0.6209, Accuracy: 8040/10000 80.00%
epoch 283, test Average loss: 0.6088, Accuracy: 8095/10000 80.00%
epoch 284, test Average loss: 0.5697, Accuracy: 8178/10000 81.00%
epoch 285, test Average loss: 0.5838, Accuracy: 8116/10000 81.00%
epoch 286, test Average loss: 0.5450, Accuracy: 8238/10000 82.00%
epoch 287, test Average loss: 0.6069, Accuracy: 8047/10000 80.00%
epoch 288, test Average loss: 0.5290, Accuracy: 8257/10000 82.00%
epoch 289, test Average loss: 0.7707, Accuracy: 7665/10000 76.00%
epoch 290, test Average loss: 0.6110, Accuracy: 8081/10000 80.00%
epoch 291, test Average loss: 0.6732, Accuracy: 7883/10000 78.00%
epoch 292, test Average loss: 0.5546, Accuracy: 8212/10000 82.00%
epoch 293, test Average loss: 0.5531, Accuracy: 8168/10000 81.00%
epoch 294, test Average loss: 0.6068, Accuracy: 8105/10000 81.00%
epoch 295, test Average loss: 0.5493, Accuracy: 8266/10000 82.00%
epoch 296, test Average loss: 0.6380, Accuracy: 8046/10000 80.00%
epoch 297, test Average loss: 0.6973, Accuracy: 7850/10000 78.00%
epoch 298, test Average loss: 0.6309, Accuracy: 8013/10000 80.00%
epoch 299, test Average loss: 0.5631, Accuracy: 8193/10000 81.00%
epoch 300, test Average loss: 0.5972, Accuracy: 8110/10000 81.00%
epoch 301, test Average loss: 0.5882, Accuracy: 8095/10000 80.00%
epoch 302, test Average loss: 0.5565, Accuracy: 8235/10000 82.00%
